arm,category,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
adapt_ev,technical,9,49.614,49.1042,1.1992,50.09,,48.169,49.946,,1.2427,20.1555,28.6,0.176,0.5163,2.5098,459,25.187,23.7895,0.2997,0.6219,False
adapt_survival,code,9,52.236,52.6631,1.865,53.2357,,52.01,53.764,,1.2673,19.1438,54.8,0.6,0.5973,2.5772,447,24.7218,22.5623,0.2831,0.6113,False
adapt_survival,dialogue,9,54.935,53.1944,4.6587,56.1428,,48.174,56.979,,1.3474,18.2031,47.5,0.7234,0.5733,2.56,450,24.1502,22.1297,0.2799,0.6118,False
adapt_survival,factual,9,53.298,53.9113,2.6555,53.8154,,52.152,55.511,,1.2929,18.7625,22.6,0.6122,0.6301,2.6301,438,24.7173,22.5985,0.275,0.6074,False
adapt_survival,high_entropy,9,55.572,55.661,4.6251,56.1822,,51.409,59.339,,1.3474,17.9945,24.5,0.7234,0.6806,2.6667,432,24.0551,21.968,0.2623,0.6071,False
adapt_survival,math,9,53.412,53.5759,1.8928,53.9356,,52.576,54.6,,1.2929,18.7227,49.0,0.6327,0.6259,2.6122,441,24.7389,22.5894,0.2787,0.6097,False
adapt_survival,prose,9,51.285,53.6716,3.9537,51.7485,,50.588,58.015,,1.2427,19.4992,23.0,0.5294,0.6216,2.5946,444,24.6941,22.5214,0.2785,0.6064,False
adapt_survival,reasoning,9,54.399,54.4899,1.6239,55.0775,,53.611,55.823,,1.3196,18.3828,55.5,0.6667,0.6507,2.6301,438,23.9383,21.8516,0.2704,0.5899,True
adapt_survival,structured,9,54.393,54.9919,1.937,55.6861,,54.27,56.277,,1.3196,18.3844,54.6,0.7083,0.7133,2.6853,429,24.7295,22.5945,0.2704,0.6069,False
adapt_survival,technical,9,51.471,51.2972,1.525,51.9839,,50.587,52.146,,1.2427,19.4281,28.6,0.5098,0.5,2.4935,462,24.7381,22.5904,0.2806,0.6092,False
ar,code,9,47.168,47.3288,1.1638,47.9293,,46.254,48.369,,1.0,21.2008,55.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,dialogue,9,47.458,47.7234,0.8189,47.9814,,46.975,48.463,,1.0,21.0711,53.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,factual,9,47.535,47.6573,1.0883,47.9311,,46.839,48.834,,1.0,21.0375,22.6,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,high_entropy,9,48.549,48.3546,0.7192,49.014,,47.481,48.886,,1.0,20.5977,25.4,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,math,9,47.271,47.6458,0.8439,48.0571,,46.99,48.42,,1.0,21.1547,54.4,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
