arm,session,checkpoint,step,K,val_tv,tf_agree_specs,tf_mean_accepted_prefix,tf_full_block_rate,seed_row_agreement,free_acceptance_rate,free_mean_accepted_specs,free_full_block_rate,tpf,forwards_per_token,proposal_ms,verify_ms,commit_ms,overhead_ms,cycle_ms,unattributed_ms,prefill_ms,tok_s_median,tok_s_std,tok_s_repeat_noise,speedup_vs_ar,predicted_tok_s,predicted_tok_s_v1,cost_model_error_pct,cost_model_v1_error_pct,cost_model_steady_error_pct,ceiling_speedup,ar_agreement,ar_baseline_tok_s,peak_memory_gb,backbone_unchanged,agree_plus_1,agree_plus_2,agree_plus_3,agree_plus_4,agree_plus_5,agree_plus_6,agree_plus_7,agree_plus_8,p_accept_0,p_accept_1,p_accept_2,p_accept_3,p_accept_4,p_accept_5,p_accept_6,p_accept_7,p_accept_8,survive_ge_1,survive_ge_2,survive_ge_3,survive_ge_4,survive_ge_5,survive_ge_6,survive_ge_7,survive_ge_8,draft_q1_accept,draft_q2_accept,draft_q3_accept,draft_q4_accept,draft_q5_accept,draft_pearson_gap,draft_pearson_entropy,best_k4_tok_s,best_k4_step,speedup_vs_best_k4,tpf_vs_best_k4
A,2026-09-04T22:42:32,step-9600,9600,8,1.32996,0.19141,0.74609,0.0,1.0,0.1528,1.0694,0.0041,1.42574,0.70139,25.9829,27.2873,0.3021,0.911,54.4832,0.0068,39.5285,50.443,5.697,0.2944,1.0308,53.839,57.294,6.732,13.583,8.606,3.3757,0.8597,48.934,11.629,True,1.0,0.46875,0.28516,0.14844,0.14062,0.11328,0.125,0.05859,0.37143,0.32245,0.23265,0.03265,0.03265,0.0,0.00408,0.00408,,0.62857,0.30612,0.07347,0.04082,0.00816,0.00816,0.00408,,0.31285,0.18715,0.13687,0.16201,0.15833,-0.18936,-0.07672,56.949,12800,0.8858,1.0158
A,2026-09-04T22:42:32,step-11200,11200,8,1.3439,0.18136,0.72656,0.0,1.0,0.1534,1.0738,0.0041,1.43141,0.69861,25.9924,27.3296,0.2986,0.9162,54.5369,0.0065,39.3865,51.386,4.618,0.1491,1.0501,53.87,57.324,4.835,11.557,2.391,3.3724,0.8597,48.934,11.629,True,1.0,0.46875,0.27734,0.14844,0.125,0.08984,0.10938,0.05078,0.37705,0.33607,0.18033,0.07377,0.02049,0.0041,0.0041,0.0041,,0.62295,0.28689,0.10656,0.03279,0.0123,0.0082,0.0041,,0.27933,0.17318,0.13687,0.16201,0.15556,-0.15244,-0.1007,56.949,12800,0.9023,1.0199
A,2026-09-04T22:42:32,step-12800,12800,8,1.33397,0.18192,0.78125,0.0,1.0,0.1553,1.0871,0.0,1.44869,0.69028,25.9411,27.2773,0.2957,0.9087,54.4228,0.0069,39.6211,53.905,5.502,0.1915,1.1016,54.188,57.688,0.524,7.018,2.701,3.3795,0.8597,48.934,11.629,True,1.0,0.46875,0.27344,0.16797,0.12891,0.09375,0.09375,0.04688,0.35685,0.34855,0.20332,0.04564,0.0332,0.01245,0.0,0.0,,0.64315,0.29461,0.09129,0.04564,0.01245,0.0,0.0,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,56.949,12800,0.9465,1.0322
B,2026-09-05T02:15:05,step-12800,12800,2,0.47944,0.46875,0.46875,0.46875,1.0,0.6201,0.6201,0.6201,1.25654,0.79583,23.6862,21.5305,0.2853,0.8947,46.3967,0.0062,37.0356,52.926,3.279,0.1096,1.0703,54.113,57.581,2.242,8.795,3.579,1.3076,0.8528,49.451,11.594,True,1.0,0.46875,,,,,,,0.37993,0.62007,,,,,,,,0.62007,,,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.8959,0.8778
B,2026-09-05T02:15:05,step-12800,12800,4,0.96742,0.3125,0.74219,0.06641,1.0,0.3226,0.9679,0.0723,1.40351,0.7125,24.5375,24.0169,0.3034,0.902,49.7598,0.0064,37.8146,56.175,5.356,0.1838,1.136,56.967,60.745,1.411,8.136,-0.188,2.032,0.8528,49.451,11.594,True,1.0,0.48047,0.26953,0.1875,,,,,0.37349,0.35743,0.19679,0.07229,,,,,,0.62651,0.26908,0.07229,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.9509,0.9805
B,2026-09-05T02:15:05,step-12800,12800,8,1.33397,0.18192,0.78125,0.0,1.0,0.1553,1.0871,0.0,1.44869,0.69028,26.3287,27.8222,0.3207,0.9859,55.4576,0.0069,40.3106,52.713,5.397,0.1643,1.066,53.18,56.674,0.886,7.514,3.088,3.2818,0.8597,49.451,11.594,True,1.0,0.46875,0.27344,0.16797,0.12891,0.09375,0.09375,0.04688,0.35685,0.34855,0.20332,0.04564,0.0332,0.01245,0.0,0.0,,0.64315,0.29461,0.09129,0.04564,0.01245,0.0,0.0,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.8923,1.0121
B1,2026-09-05T02:15:05,B1-start(step-12800),12800,2,0.47944,0.46875,0.46875,0.46875,1.0,0.6201,0.6201,0.6201,1.25654,0.79583,23.6862,21.5305,0.2853,0.8947,46.3967,0.0062,37.0356,52.926,3.279,0.1096,1.0703,54.113,57.581,2.242,8.795,3.579,1.3076,0.8528,49.451,11.594,True,1.0,0.46875,,,,,,,0.37993,0.62007,,,,,,,,0.62007,,,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.8959,0.8778
B1,2026-09-05T02:15:05,B1-13200,13200,2,0.47485,0.46484,0.46484,0.46484,1.0,0.5993,0.5993,0.5993,1.24352,0.80417,23.6226,21.5195,0.2891,0.8994,46.3306,0.0059,36.2029,53.029,3.596,0.0909,1.0724,53.826,57.214,1.501,7.891,2.883,1.3094,0.8528,49.451,11.629,True,1.0,0.46484,,,,,,,0.40071,0.59929,,,,,,,,0.59929,,,,,,,,0.28212,0.2095,0.1648,0.16201,0.13333,-0.19054,-0.09712,59.075,16000,0.8977,0.8687
B1,2026-09-05T02:15:05,B1-13600,13600,2,0.47852,0.46484,0.46484,0.46484,1.0,0.5845,0.5845,0.5845,1.23499,0.80972,23.6164,21.5071,0.2871,0.8874,46.298,0.0061,36.1831,51.547,3.258,0.115,1.0424,53.569,56.914,3.923,10.413,2.452,1.3104,0.8528,49.451,11.629,True,1.0,0.46484,,,,,,,0.41549,0.58451,,,,,,,,0.58451,,,,,,,,0.28492,0.21229,0.15642,0.15642,0.12222,-0.20669,-0.0981,59.075,16000,0.8726,0.8628
B1,2026-09-05T02:15:05,B1-14400,14400,2,0.47784,0.46484,0.46484,0.46484,1.0,0.5936,0.5936,0.5936,1.23924,0.80694,23.4076,21.339,0.2671,0.8467,45.8603,0.0062,36.5908,52.093,3.203,0.126,1.0534,54.218,57.619,4.079,10.609,2.63,1.3229,0.8528,49.451,11.629,True,1.0,0.46484,,,,,,,0.40636,0.59364,,,,,,,,0.59364,,,,,,,,0.27654,0.18994,0.15642,0.17598,0.15,-0.16815,-0.11125,59.075,16000,0.8818,0.8657
B1,2026-09-05T02:15:05,B1-16000,16000,2,0.47618,0.46875,0.46875,0.46875,1.0,0.6179,0.6179,0.6179,1.25217,0.79861,23.3998,21.3245,0.2645,0.8374,45.8262,0.0058,36.3788,53.85,3.571,0.1415,1.089,54.755,58.189,1.681,8.058,2.852,1.3238,0.8528,49.451,11.629,True,1.0,0.46875,,,,,,,0.38214,0.61786,,,,,,,,0.61786,,,,,,,,0.27654,0.2067,0.16201,0.14525,0.14444,-0.17938,-0.07095,59.075,16000,0.9116,0.8748
B1,2026-09-05T02:15:05,B1-start(step-12800),12800,4,0.96742,0.3125,0.74219,0.06641,1.0,0.3226,0.9679,0.0723,1.40351,0.7125,24.5375,24.0169,0.3034,0.902,49.7598,0.0064,37.8146,56.175,5.356,0.1838,1.136,56.967,60.745,1.411,8.136,-0.188,2.032,0.8528,49.451,11.594,True,1.0,0.48047,0.26953,0.1875,,,,,0.37349,0.35743,0.19679,0.07229,,,,,,0.62651,0.26908,0.07229,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.9509,0.9805
B1,2026-09-05T02:15:05,B1-13200,13200,4,0.96291,0.31641,0.75781,0.08203,1.0,0.3254,0.9761,0.0717,1.39265,0.71806,24.4915,23.968,0.3056,0.9043,49.6694,0.0064,37.4857,55.974,5.357,0.1642,1.1319,57.24,61.029,2.261,9.031,-0.366,2.0357,0.8528,49.451,11.629,True,1.0,0.48828,0.27734,0.18359,,,,,0.38645,0.32271,0.21912,0.07171,,,,,,0.61355,0.29084,0.07171,,,,,,0.28212,0.2095,0.1648,0.16201,0.13333,-0.19054,-0.09712,59.075,16000,0.9475,0.9729
B1,2026-09-05T02:15:05,B1-13600,13600,4,0.95994,0.31641,0.75781,0.07422,1.0,0.3108,0.9325,0.0635,1.38728,0.72083,24.5411,24.021,0.3101,0.9219,49.794,0.0064,37.4296,55.847,5.68,0.1297,1.1293,56.308,60.004,0.825,7.444,2.747,2.0306,0.8528,49.451,11.629,True,1.0,0.48438,0.28516,0.17969,,,,,0.4127,0.30556,0.21825,0.06349,,,,,,0.5873,0.28175,0.06349,,,,,,0.28492,0.21229,0.15642,0.15642,0.12222,-0.20669,-0.0981,59.075,16000,0.9454,0.9692
B1,2026-09-05T02:15:05,B1-14400,14400,4,0.96412,0.29557,0.71875,0.06641,1.0,0.3226,0.9679,0.0924,1.40351,0.7125,24.3084,23.838,0.2952,0.8772,49.3188,0.0064,37.4767,55.84,5.276,0.3297,1.1292,57.477,61.267,2.93,9.718,4.696,2.0501,0.8528,49.451,11.629,True,1.0,0.47656,0.25391,0.15625,,,,,0.40964,0.30522,0.19277,0.09237,,,,,,0.59036,0.28514,0.09237,,,,,,0.27654,0.18994,0.15642,0.17598,0.15,-0.16815,-0.11125,59.075,16000,0.9452,0.9805
B1,2026-09-05T02:15:05,B1-16000,16000,4,0.9506,0.32292,0.78516,0.07812,1.0,0.3525,1.0574,0.1148,1.43141,0.69861,24.3074,23.8555,0.2897,0.8719,49.3245,0.0063,37.681,59.075,5.274,0.1292,1.1946,59.109,63.1,0.057,6.813,1.867,2.0499,0.8528,49.451,11.629,True,1.0,0.50391,0.26562,0.19922,,,,,0.36066,0.33607,0.18852,0.11475,,,,,,0.63934,0.30328,0.11475,,,,,,0.27654,0.2067,0.16201,0.14525,0.14444,-0.17938,-0.07095,59.075,16000,1.0,1.0
B1,2026-09-05T02:15:05,B1-start(step-12800),12800,8,1.33397,0.18192,0.78125,0.0,1.0,0.1553,1.0871,0.0,1.44869,0.69028,26.3287,27.8222,0.3207,0.9859,55.4576,0.0069,40.3106,52.713,5.397,0.1643,1.066,53.18,56.674,0.886,7.514,3.088,3.2818,0.8597,49.451,11.594,True,1.0,0.46875,0.27344,0.16797,0.12891,0.09375,0.09375,0.04688,0.35685,0.34855,0.20332,0.04564,0.0332,0.01245,0.0,0.0,,0.64315,0.29461,0.09129,0.04564,0.01245,0.0,0.0,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.8923,1.0121
B1,2026-09-05T02:15:05,B1-13200,13200,8,1.3197,0.19029,0.76172,0.0,1.0,0.1565,1.0958,0.0,1.45455,0.6875,26.2744,27.7541,0.3146,1.0108,55.3538,0.0072,40.3633,52.705,5.209,0.3681,1.0658,53.416,56.968,1.348,8.088,2.386,3.2879,0.8597,49.451,11.629,True,1.0,0.47656,0.26172,0.17188,0.14453,0.10938,0.11719,0.05078,0.37083,0.3,0.2375,0.05,0.0375,0.00417,0.0,0.0,,0.62917,0.32917,0.09167,0.04167,0.00417,0.0,0.0,,0.28212,0.2095,0.1648,0.16201,0.13333,-0.19054,-0.09712,59.075,16000,0.8922,1.0162
B1,2026-09-05T02:15:05,B1-13600,13600,8,1.32382,0.18638,0.76172,0.0,1.0,0.1552,1.0864,0.0,1.43713,0.69583,26.3059,27.8033,0.3091,0.9455,55.3639,0.0072,40.5323,52.585,4.479,0.2231,1.0634,53.242,56.717,1.248,7.856,2.389,3.2873,0.8597,49.451,11.629,True,1.0,0.45312,0.27734,0.17969,0.11719,0.12109,0.10156,0.05469,0.38272,0.30453,0.21811,0.04938,0.02881,0.01646,0.0,0.0,,0.61728,0.31276,0.09465,0.04527,0.01646,0.0,0.0,,0.28492,0.21229,0.15642,0.15642,0.12222,-0.20669,-0.0981,59.075,16000,0.8901,1.004
B1,2026-09-05T02:15:05,B1-14400,14400,8,1.31923,0.18973,0.80469,0.0,1.0,0.1499,1.0494,0.0,1.43713,0.69583,26.1072,27.6277,0.3024,0.9152,54.9524,0.0072,40.5739,50.794,6.94,0.1761,1.0272,53.005,56.431,4.353,11.097,1.558,3.312,0.8597,49.451,11.629,True,1.0,0.45703,0.28516,0.17188,0.11719,0.11719,0.10938,0.07031,0.40329,0.3251,0.16461,0.04938,0.04115,0.01646,0.0,0.0,,0.59671,0.2716,0.107,0.05761,0.01646,0.0,0.0,,0.27654,0.18994,0.15642,0.17598,0.15,-0.16815,-0.11125,59.075,16000,0.8598,1.004
B1,2026-09-05T02:15:05,B1-16000,16000,8,1.31913,0.18694,0.78906,0.0,1.0,0.157,1.0992,0.0,1.44289,0.69306,26.1664,27.6783,0.2967,0.9209,55.0623,0.0076,40.5988,53.776,5.01,0.178,1.0875,53.727,57.242,-0.091,6.445,-2.232,3.3053,0.8597,49.451,11.629,True,1.0,0.48438,0.28516,0.17578,0.11328,0.10938,0.07812,0.0625,0.40083,0.28099,0.20661,0.04959,0.05372,0.00826,0.0,0.0,,0.59917,0.31818,0.11157,0.06198,0.00826,0.0,0.0,,0.27654,0.2067,0.16201,0.14525,0.14444,-0.17938,-0.07095,59.075,16000,0.9103,1.008
B2,2026-09-05T02:15:05,B2-start(step-12800),12800,2,0.47944,0.46875,0.46875,0.46875,1.0,0.6201,0.6201,0.6201,1.25654,0.79583,23.6862,21.5305,0.2853,0.8947,46.3967,0.0062,37.0356,52.926,3.279,0.1096,1.0703,54.113,57.581,2.242,8.795,3.579,1.3076,0.8528,49.451,11.594,True,1.0,0.46875,,,,,,,0.37993,0.62007,,,,,,,,0.62007,,,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.8959,0.8778
B2,2026-09-05T02:15:05,B2k6-14400,14400,2,0.48277,0.47656,0.47656,0.47656,1.0,0.583,0.583,0.583,1.23924,0.80694,23.413,21.3408,0.2687,0.8361,45.8586,0.0061,36.8281,52.1,3.297,0.4248,1.0536,53.993,57.372,3.633,10.12,2.204,1.3229,0.8528,49.451,11.629,True,1.0,0.47656,,,,,,,0.41696,0.58304,,,,,,,,0.58304,,,,,,,,0.27933,0.20112,0.17318,0.15084,0.13611,-0.15855,-0.07418,59.075,16000,0.8819,0.8657
B2,2026-09-05T02:15:05,B2k8-14800,14800,2,0.47579,0.48438,0.48438,0.48438,1.0,0.5866,0.5866,0.5866,1.23924,0.80694,23.4369,21.3511,0.2651,0.8336,45.8867,0.006,36.6746,51.697,3.438,0.13,1.0454,54.041,57.412,4.534,11.053,2.439,1.3221,0.8528,49.451,11.629,True,1.0,0.48438,,,,,,,0.41343,0.58657,,,,,,,,0.58657,,,,,,,,0.2905,0.2067,0.1676,0.15642,0.13056,-0.1839,-0.09624,59.075,16000,0.8751,0.8657
B2,2026-09-05T02:15:05,B2k8-16000,16000,2,0.47251,0.45312,0.45312,0.45312,1.0,0.6237,0.6237,0.6237,1.25654,0.79583,23.3977,21.3552,0.2667,0.8465,45.8661,0.0062,36.124,53.81,3.093,0.0985,1.0882,54.842,58.278,1.917,8.304,3.076,1.3227,0.8528,49.451,11.629,True,1.0,0.45312,,,,,,,0.37634,0.62366,,,,,,,,0.62366,,,,,,,,0.28771,0.22067,0.18715,0.1676,0.13333,-0.16692,-0.0707,59.075,16000,0.9109,0.8778
