arm,checkpoint,K,ceiling_speedup,actual_speedup,actual_per_slot_accept,target_speedup,reachable,required_per_slot_accept,required_mean_committed,required_full_block_rate,required_tpf
B,step-12800,4,2.032,1.136,0.3226,1.2,True,0.5276,2.9528,0.1469,1.4764
B,step-12800,4,2.032,1.136,0.3226,1.3,True,0.6069,3.1989,0.2236,1.5994
B,step-12800,4,2.032,1.136,0.3226,1.5,True,0.7396,3.691,0.4045,1.8455
B,step-12800,4,2.032,1.136,0.3226,1.75,True,0.8741,4.3062,0.6679,2.1531
B,step-12800,4,2.032,1.136,0.3226,2.0,True,0.9868,4.9213,0.9608,2.4607
B,step-12800,8,3.2818,1.066,0.1553,1.1,True,0.5063,3.0167,0.0085,1.5083
B,step-12800,8,3.2818,1.066,0.1553,1.2,True,0.5682,3.2909,0.0191,1.6455
B,step-12800,8,3.2818,1.066,0.1553,1.3,True,0.6185,3.5651,0.0346,1.7826
B,step-12800,8,3.2818,1.066,0.1553,1.5,True,0.6967,4.1137,0.0796,2.0568
B,step-12800,8,3.2818,1.066,0.1553,1.75,True,0.769,4.7993,0.159,2.3997
B,step-12800,8,3.2818,1.066,0.1553,2.0,True,0.8248,5.4849,0.2596,2.7425
B1,B1-13200,2,1.3094,1.0724,0.5993,1.1,True,0.5202,2.5202,0.5202,1.2601
B1,B1-13200,2,1.3094,1.0724,0.5993,1.2,True,0.7493,2.7493,0.7493,1.3746
B1,B1-13200,2,1.3094,1.0724,0.5993,1.3,True,0.9784,2.9784,0.9784,1.4892
B1,B1-13200,2,1.3094,1.0724,0.5993,1.5,False,,,,
B1,B1-13200,2,1.3094,1.0724,0.5993,1.75,False,,,,
B1,B1-13200,2,1.3094,1.0724,0.5993,2.0,False,,,,
B1,B1-13200,4,2.0357,1.1319,0.3254,1.1,True,0.4331,2.7018,0.0812,1.3509
B1,B1-13200,4,2.0357,1.1319,0.3254,1.2,True,0.5257,2.9474,0.1453,1.4737
B1,B1-13200,4,2.0357,1.1319,0.3254,1.3,True,0.6052,3.1931,0.2216,1.5965
B1,B1-13200,4,2.0357,1.1319,0.3254,1.5,True,0.7379,3.6843,0.4018,1.8422
B1,B1-13200,4,2.0357,1.1319,0.3254,1.75,True,0.8726,4.2983,0.6644,2.1492
B1,B1-13200,4,2.0357,1.1319,0.3254,2.0,True,0.9853,4.9124,0.9564,2.4562
B1,B1-13200,8,3.2879,1.0658,0.1565,1.1,True,0.5048,3.011,0.0084,1.5055
B1,B1-13200,8,3.2879,1.0658,0.1565,1.2,True,0.567,3.2848,0.0188,1.6424
B1,B1-13200,8,3.2879,1.0658,0.1565,1.3,True,0.6174,3.5585,0.0342,1.7792
B1,B1-13200,8,3.2879,1.0658,0.1565,1.5,True,0.6957,4.106,0.0789,2.053
B1,B1-13200,8,3.2879,1.0658,0.1565,1.75,True,0.7682,4.7903,0.1578,2.3952
B1,B1-13200,8,3.2879,1.0658,0.1565,2.0,True,0.824,5.4747,0.258,2.7373
B1,B1-13600,2,1.3104,1.0424,0.5845,1.1,True,0.5184,2.5184,0.5184,1.2592
B1,B1-13600,2,1.3104,1.0424,0.5845,1.2,True,0.7474,2.7474,0.7474,1.3737
B1,B1-13600,2,1.3104,1.0424,0.5845,1.3,True,0.9763,2.9763,0.9763,1.4882
B1,B1-13600,2,1.3104,1.0424,0.5845,1.5,False,,,,
B1,B1-13600,2,1.3104,1.0424,0.5845,1.75,False,,,,
B1,B1-13600,2,1.3104,1.0424,0.5845,2.0,False,,,,
B1,B1-13600,4,2.0306,1.1293,0.3108,1.1,True,0.4358,2.7086,0.0828,1.3543
B1,B1-13600,4,2.0306,1.1293,0.3108,1.2,True,0.5283,2.9548,0.1474,1.4774
B1,B1-13600,4,2.0306,1.1293,0.3108,1.3,True,0.6076,3.2011,0.2243,1.6005
B1,B1-13600,4,2.0306,1.1293,0.3108,1.5,True,0.7402,3.6935,0.4055,1.8468
B1,B1-13600,4,2.0306,1.1293,0.3108,1.75,True,0.8747,4.3091,0.6693,2.1546
